Algorithm,Seed,SeedUniversalFrontSize,SeedUniversalHV_fixed,ContributionCount,ContributionPct
GA_Makespan_Dominance,200,37,0.690986,1,2.702703
GA_Makespan_Dominance,201,36,0.673751,1,2.777778
GA_Makespan_Dominance,202,34,0.700444,1,2.941176
GA_Makespan_Dominance,203,53,0.670538,2,3.773585
GA_Makespan_Dominance,204,37,0.669060,1,2.702703
GA_Makespan_Dominance,205,45,0.623122,1,2.222222
GA_Makespan_Dominance,206,35,0.673015,1,2.857143
GA_Makespan_Dominance,207,41,0.687337,2,4.878049
GA_Makespan_Dominance,208,32,0.672775,1,3.125000
GA_Makespan_Dominance,209,41,0.703392,1,2.439024
GA_Makespan_Dominance,MEAN,,,1.200000,3.041938
GA_Makespan_Dominance,STDDEV,,,0.400000,0.727543
GA_Energy_Dominance,200,37,0.690986,14,37.837838
GA_Energy_Dominance,201,36,0.673751,16,44.444444
GA_Energy_Dominance,202,34,0.700444,20,58.823529
GA_Energy_Dominance,203,53,0.670538,15,28.301887
GA_Energy_Dominance,204,37,0.669060,17,45.945946
GA_Energy_Dominance,205,45,0.623122,25,55.555556
GA_Energy_Dominance,206,35,0.673015,20,57.142857
GA_Energy_Dominance,207,41,0.687337,15,36.585366
GA_Energy_Dominance,208,32,0.672775,13,40.625000
GA_Energy_Dominance,209,41,0.703392,19,46.341463
GA_Energy_Dominance,MEAN,,,17.400000,45.160389
GA_Energy_Dominance,STDDEV,,,3.440930,9.342241
SA_Makespan_Dominance,200,37,0.690986,2,5.405405
SA_Makespan_Dominance,201,36,0.673751,4,11.111111
SA_Makespan_Dominance,202,34,0.700444,1,2.941176
SA_Makespan_Dominance,203,53,0.670538,2,3.773585
SA_Makespan_Dominance,204,37,0.669060,1,2.702703
SA_Makespan_Dominance,205,45,0.623122,8,17.777778
SA_Makespan_Dominance,206,35,0.673015,1,2.857143
SA_Makespan_Dominance,207,41,0.687337,1,2.439024
SA_Makespan_Dominance,208,32,0.672775,1,3.125000
SA_Makespan_Dominance,209,41,0.703392,2,4.878049
SA_Makespan_Dominance,MEAN,,,2.300000,5.701097
SA_Makespan_Dominance,STDDEV,,,2.100000,4.707097
SA_Energy_Dominance,200,37,0.690986,3,8.108108
SA_Energy_Dominance,201,36,0.673751,4,11.111111
SA_Energy_Dominance,202,34,0.700444,3,8.823529
SA_Energy_Dominance,203,53,0.670538,9,16.981132
SA_Energy_Dominance,204,37,0.669060,6,16.216216
SA_Energy_Dominance,205,45,0.623122,4,8.888889
SA_Energy_Dominance,206,35,0.673015,5,14.285714
SA_Energy_Dominance,207,41,0.687337,7,17.073171
SA_Energy_Dominance,208,32,0.672775,6,18.750000
SA_Energy_Dominance,209,41,0.703392,4,9.756098
SA_Energy_Dominance,MEAN,,,5.100000,12.999397
SA_Energy_Dominance,STDDEV,,,1.813836,3.871244
NSGA-II,200,37,0.690986,4,10.810811
NSGA-II,201,36,0.673751,7,19.444444
NSGA-II,202,34,0.700444,4,11.764706
NSGA-II,203,53,0.670538,9,16.981132
NSGA-II,204,37,0.669060,1,2.702703
NSGA-II,205,45,0.623122,5,11.111111
NSGA-II,206,35,0.673015,2,5.714286
NSGA-II,207,41,0.687337,9,21.951220
NSGA-II,208,32,0.672775,0,0.000000
NSGA-II,209,41,0.703392,5,12.195122
NSGA-II,MEAN,,,4.600000,11.267553
NSGA-II,STDDEV,,,2.939388,6.679379
SPEA-II,200,37,0.690986,11,29.729730
SPEA-II,201,36,0.673751,0,0.000000
SPEA-II,202,34,0.700444,3,8.823529
SPEA-II,203,53,0.670538,14,26.415094
SPEA-II,204,37,0.669060,9,24.324324
SPEA-II,205,45,0.623122,0,0.000000
SPEA-II,206,35,0.673015,3,8.571429
SPEA-II,207,41,0.687337,7,17.073171
SPEA-II,208,32,0.672775,11,34.375000
SPEA-II,209,41,0.703392,10,24.390244
SPEA-II,MEAN,,,6.800000,17.370252
SPEA-II,STDDEV,,,4.728636,11.727626
AMOSA,200,37,0.690986,2,5.405405
AMOSA,201,36,0.673751,4,11.111111
AMOSA,202,34,0.700444,2,5.882353
AMOSA,203,53,0.670538,2,3.773585
AMOSA,204,37,0.669060,2,5.405405
AMOSA,205,45,0.623122,2,4.444444
AMOSA,206,35,0.673015,3,8.571429
AMOSA,207,41,0.687337,2,4.878049
AMOSA,208,32,0.672775,0,0.000000
AMOSA,209,41,0.703392,0,0.000000
AMOSA,MEAN,,,1.900000,4.947178
AMOSA,STDDEV,,,1.135782,3.209482
Universal_Pareto,MEAN,39.100000,0.676442,,
Universal_Pareto,STDDEV,5.889822,0.021442,,
